name,role,ip,mac,disk_gb,ram_mb,vcpus
talos2-cp-1,controlplane,192.168.124.113,52:54:00:04:81:de,20,2048,2
talos2-w-1,worker,192.168.124.121,52:54:00:04:81:11,20,2048,2
